"Index","en-US","cs-CZ","da-DK","de-DE","en-GB","es-ES","es-MX","et-EE","fi-FI","fr-CA","fr-FR","hr-HR","hu-HU","it-IT","lt-LT","lv-LV","nb-NO","nl-NL","pl-PL","pt-BR","pt-PT","ro-RO","sk-SK","sl-SI","sr-Latn-RS","sv-SE","tr-TR"
"9248","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET","ASP.NET"
"9250","ASP.NET Applications","Aplikace ASP.NET","ASP.NET-programmer","ASP.NET-Anwendungen","ASP.NET Applications","Aplicaciones ASP.NET","Aplicaciones ASP.NET","ASP.NET Applications","ASP.NET-sovellukset","Applications ASP.NET","Applications ASP.NET","ASP.NET Applications","ASP.NET-es verziójú alkalmazások","Applicazioni ASP.NET","ASP.NET Applications","ASP.NET Applications","ASP.NET-programmer","ASP.NET-toepassingen","Aplikacje ASP.NET","Aplicativos do ASP.NET","Aplicações. ASP.NET","ASP.NET Applications","ASP.NET Applications","ASP.NET Applications","ASP.NET Applications","ASP.NET-tillämpningar","ASP.NET Uygulamaları"
"9252","Application Restarts","Restartování aplikace","Genstartede programmer","Anwendungsneustarts","Application Restarts","Reinicios de la aplicación","Reinicios de la aplicación","Application Restarts","Sovellusten uudelleenkäynnistykset","Redémarrages de l'application","Redémarrages de l'application","Application Restarts","Alkalmazás-újraindítások száma","Riavvii applicazione","Application Restarts","Application Restarts","Gjenstarter av programmet","Nieuwe start van toepassing","Ponowne uruchomienia aplikacji","Reinícios do Aplicativo","Reinícios de Aplicações","Application Restarts","Application Restarts","Application Restarts","Application Restarts","Tillämpningsomstarter","Uygulama Yeniden Başlatma Sayısı"
"9254","Applications Running","Spuštěné aplikace","Kørende programmer","Ausgeführte Anwendungen","Applications Running","Aplicaciones activas","Aplicaciones activas","Applications Running","Käynnissä olevat sovellukset","Exécution des applications","Exécution des applications","Applications Running","Futó alkalmazások száma","Applicazioni in esecuzione","Applications Running","Applications Running","Programmer som kjører","Momenteel uitgevoerde toepassingen","Aplikacje uruchomione","Aplicativos em Execução","Aplicações em Execução","Applications Running","Applications Running","Applications Running","Applications Running","Tillämpningsprogram som körs","Çalışan Uygulama Sayısı"
"9256","Requests Disconnected","Odpojené požadavky","Afbrudte anmodninger","Getrennte Anforderungen","Requests Disconnected","Solicitudes desconectadas","Solicitudes desconectadas","Requests Disconnected","Katkaistut pyynnöt","Demandes déconnectées","Demandes déconnectées","Requests Disconnected","Megszakított kérelmek száma","Richieste disconnesse","Requests Disconnected","Requests Disconnected","Frakoblede forespørsler","Verbroken aanvragen","Rozłączone żądania","Solicitações Desconectadas","Pedidos Desligados","Requests Disconnected","Requests Disconnected","Requests Disconnected","Requests Disconnected","Frånkopplade begäranden","Bağlantısı Kesilen İstekler"
"9258","Request Execution Time","Doba provádění požadavku","Kørselstid for anmodning","Ausführungszeit der Anforderung","Request Execution Time","Tiempo de ejecución de solicitud","Tiempo de ejecución de solicitud","Request Execution Time","Pyynnön suoritusaika","Durée d'exécution de la demande","Durée d'exécution de la demande","Request Execution Time","Kérelem végrehajtási ideje","Tempo di esecuzione della richiesta","Request Execution Time","Request Execution Time","Be om kjøringstid","Uitvoeringstijd van aanvraag","Czas wykonywania żądania","Tempo de Execução da Solicitação","Tempo de Execução do Pedido","Request Execution Time","Request Execution Time","Request Execution Time","Request Execution Time","Körningstid för begäran","İstek Yürütme Süresi"
"926","Total Number of Registrations/sec","Celkový počet registrací/s","Antal registreringer i alt pr. sekund","Registrierungen insgesamt/s","Total Number of Registrations/sec","Número total de registros/s","Número total de registros/s","Total Number of Registrations/sec","Rekisteröintejä yhteensä/s","Nombre total d’inscriptions/s","Nombre total d’inscriptions/s","Total Number of Registrations/sec","Névregisztrációs kérelmek összesen (regisztráció/s)","Numero totale di registrazioni/sec","Total Number of Registrations/sec","Total Number of Registrations/sec","Antall registreringer/sek","Totaal aantal registraties per seconde","Całkowita liczba rejestracji/s","Número Total de Registros/s","Número total de registos/seg","Total Number of Registrations/sec","Total Number of Registrations/sec","Total Number of Registrations/sec","Total Number of Registrations/sec","Totalt antal registreringar/s","Toplam Kayıt Sayısı/sn"
"9260","Requests Rejected","Zamítnuté požadavky","Afviste anmodninger","Zurückgewiesene Anforderungen","Requests Rejected","Solicitudes rechazadas","Solicitudes rechazadas","Requests Rejected","Hylätyt pyynnöt","Demandes rejetées","Demandes rejetées","Requests Rejected","Elutasított kérelmek száma","Richieste respinte","Requests Rejected","Requests Rejected","Forkastede forespørsler","Geweigerde aanvragen","Żądania odrzucone","Solicitações Rejeitadas","Pedidos Rejeitados","Requests Rejected","Requests Rejected","Requests Rejected","Requests Rejected","Nekade begäranden","Reddedilen İstekler"
"9262","Requests Queued","Požadavky zařazené ve frontě","Anmodninger i køen","Anforderungen in Warteschlange","Requests Queued","Solicitudes en cola","Solicitudes en cola","Requests Queued","Jonossa olevat pyynnöt","Demandes en attente","Demandes en attente","Requests Queued","Sorba állított kérelmek száma","Richieste in coda","Requests Queued","Requests Queued","Forespørsler i kø","Aanvragen in wachtrij","Żądania w kolejce","Solicitações Enfileiradas","Pedidos Em Fila","Requests Queued","Requests Queued","Requests Queued","Requests Queued","Begäranden i kö","Sıraya Alınan İstek Sayısı"
"9264","Worker Processes Running","Spuštěné pracovní procesy","Kørende arbejdsprocesser","Ausgeführte Arbeitsprozesse","Worker Processes Running","Procesos de trabajo en ejecución","Procesos de trabajo en ejecución","Worker Processes Running","Käynnissä olevat työprosessit","Processus de travail en cours","Processus de travail en cours","Worker Processes Running","Futó munkafolyamatok száma","Processi di lavoro in esecuzione","Worker Processes Running","Worker Processes Running","Arbeidsprosesser som kjører","Uitgevoerde werkprocessen","Uruchomione procesy robocze","Processos de Trabalho em Execução","Processos de Trabalho em Execução","Worker Processes Running","Worker Processes Running","Worker Processes Running","Worker Processes Running","Arbetsprocesser som körs","Çalışmakta Olan Çalışan İşlemi Sayısı"
"9266","Worker Process Restarts","Restartování pracovního procesu","Genstartede arbejdsprocesser","Arbeitsprozess-Neustarts","Worker Process Restarts","Reinicios del proceso de trabajo","Reinicios del proceso de trabajo","Worker Process Restarts","Työprosessin uudelleenkäynnistykset","Redémarrages du processus de travail","Redémarrages du processus de travail","Worker Process Restarts","Munkafolyamat-újraindítások száma","Riavvii processo di lavoro","Worker Process Restarts","Worker Process Restarts","Gjenstarter av arbeidsprosess","Opnieuw gestarte werkprocessen","Ponowne uruchomienia procesu roboczego","Reinícios do Processo de Trabalho","Reinícios do Processo de Trabalho","Worker Process Restarts","Worker Process Restarts","Worker Process Restarts","Worker Process Restarts","Arbetsprocessomstarter","Yeniden Başlayan Çalışan İşlemi Sayısı"
"9268","Request Wait Time","Doba čekání požadavku","Ventetid for anmodninger","Wartezeit der Anforderung","Request Wait Time","Tiempo de espera de la solicitud","Tiempo de espera de la solicitud","Request Wait Time","Pyynnön odotusaika","Durée d'attente de la demande","Durée d'attente de la demande","Request Wait Time","Kérelem várakozási ideje","Tempo di attesa richiesta","Request Wait Time","Request Wait Time","Be om ventetid","Wachttijd voor aanvraag","Czas oczekiwania na żądanie","Tempo de Espera da Solicitação","Tempo de Espera do Pedido","Request Wait Time","Request Wait Time","Request Wait Time","Request Wait Time","Väntetid för begäran","İstek Bekleme Süresi"
"9270","State Server Sessions Active","Aktivní relace stavového serveru","Aktive tilstandsserversessioner","Aktive Statusserversitzungen","State Server Sessions Active","Sesiones activas del servidor de estado","Sesiones activas del servidor de estado","State Server Sessions Active","Aktiiviset tilapalvelimen istunnot","Sessions actives du serveur d'état","Sessions actives du serveur d'état","State Server Sessions Active","Aktív állapotkiszolgálói munkamenetek száma","Sessioni server attive","State Server Sessions Active","State Server Sessions Active","Aktive serverøkter","Actieve serversessies","Aktywne sesje serwera stanu","Sessões do Servidor em Estado Ativo","Sessões do Servidor de Estado Ativas","State Server Sessions Active","State Server Sessions Active","State Server Sessions Active","State Server Sessions Active","Aktiva serversessioner","Durum Sunucusu Etkin Oturum Sayısı"
"9272","State Server Sessions Abandoned","Opuštěné relace stavového serveru","Afbrudte tilstandsserversessioner","Abgebrochene Statusserversitzungen","State Server Sessions Abandoned","Sesiones abandonadas del servidor de estado","Sesiones abandonadas del servidor de estado","State Server Sessions Abandoned","Jätetyt tilapalvelimen istunnot","Sessions abandonnées du serveur d'état","Sessions abandonnées du serveur d'état","State Server Sessions Abandoned","Félbehagyott állapotkiszolgálói munkamenetek száma","Sessioni server abbandonate","State Server Sessions Abandoned","State Server Sessions Abandoned","Ignorerte serverøkter","Afgebroken serversessies","Porzucone sesje serwera stanu","Sessões do Servidor em Estado Abandonado","Sessões do Servidor de Estado Abandonadas","State Server Sessions Abandoned","State Server Sessions Abandoned","State Server Sessions Abandoned","State Server Sessions Abandoned","Avbrutna serversessioner","Durum Sunucusu Yarıda Bırakılan Oturum Sayısı"
"9274","State Server Sessions Timed Out","Vypršelé relace stavového serveru","Tilstandsserversessioner med timeout","Abgelaufene Statusserversitzungen","State Server Sessions Timed Out","Sesiones del servidor de estado que superaron el tiempo de espera","Sesiones del servidor de estado que superaron el tiempo de espera","State Server Sessions Timed Out","Aikakatkaistut tilapalvelimen istunnot","Dépassement du délai d'attente du serveur d'état","Dépassement du délai d'attente du serveur d'état","State Server Sessions Timed Out","Időtúllépés miatt megszakadt állapotkiszolgálói munkamenetek száma","Sessioni server chiuse per timeout","State Server Sessions Timed Out","State Server Sessions Timed Out","Tidsavbrutte serverøkter","Time-outs van serversessies","Sesje serwera stanu z przekroczonym limitem czasu","Sessões do Servidor com Estado de Tempo Limite Atingido","Tempo Limite das Sessões do Servidor de Estado Excedido","State Server Sessions Timed Out","State Server Sessions Timed Out","State Server Sessions Timed Out","State Server Sessions Timed Out","Timeout för serversessioner","Durum Sunucusu Süresi Dolan Oturum Sayısı"
"9276","State Server Sessions Total","Relace stavového serveru celkem","Samlet antal tilstandsserversessioner","Statusserversitzungen insgesamt","State Server Sessions Total","Sesiones totales del servidor de estado","Sesiones totales del servidor de estado","State Server Sessions Total","Tilapalvelimen istuntojen kokonaismäärä","Total de sessions du serveur d'état","Total de sessions du serveur d'état","State Server Sessions Total","Állapotkiszolgálói munkamenetek száma összesen","Totale sessioni server","State Server Sessions Total","State Server Sessions Total","Antall serverøkter","Totaal aantal serversessies","Suma sesji serwera stanu","Total de Sessões do Servidor","Total de Sessões do Servidor de Estado","State Server Sessions Total","State Server Sessions Total","State Server Sessions Total","State Server Sessions Total","Totalt antal serversessioner","Durum Sunucusu Toplam Oturum Sayısı"
"9278","Requests Current","Aktuální požadavky","Aktuelle anmodninger","Aktuelle Anforderungen","Requests Current","Solicitudes actuales","Solicitudes actuales","Requests Current","Pyyntöjä suoritettavana","Demandes actuelles","Demandes actuelles","Requests Current","Kérelmek pillanatnyi száma","Richieste correnti","Requests Current","Requests Current","Gjeldende forespørsler","Huidige aanvragen","Bieżące żądania","Nº de Solicitações Atuais","Pedidos Atuais","Requests Current","Requests Current","Requests Current","Requests Current","Aktuella begäranden","Geçerli İstek Sayısı"
"928","Unique Renewals/sec","Jedinečná obnovení/s","Entydige fornyelser pr. sekund","Einzelerneuerungen/s","Unique Renewals/sec","Renovaciones únicas/s","Renovaciones únicas/s","Unique Renewals/sec","Yksilöllisiä uusintoja/s","Rafraîchissements individuels/s","Rafraîchissements individuels/s","Unique Renewals/sec","Egyedinév-megújítási kérelmek (kérelem/s)","Aggiornamenti univoci/sec","Unique Renewals/sec","Unique Renewals/sec","Unike fornyelser/sek","Unieke vernieuwingen per seconde","Unikatowe odnowienia/s","Renovações exclusivas/s","Renovações exclusivas/seg","Unique Renewals/sec","Unique Renewals/sec","Unique Renewals/sec","Unique Renewals/sec","Unika uppdateringar/s","Benzersiz Yenileme/sn"
"9280","Audit Success Events Raised","Vyvolané události úspěšných auditů","Hændelser af typen Vellykket overvågning","Bei erfolgreicher Überwachung ausgelöste Ereignisse","Audit Success Events Raised","Eventos de resultados correctos de auditoría provocados","Eventos de resultados correctos de auditoría provocados","Audit Success Events Raised","Onnistuneet tarkistustapahtumat","Événements de succès d'audit déclenchés","Événements de succès d'audit déclenchés","Audit Success Events Raised","Sikeres vizsgálati események száma","Eventi controllo riuscito generati","Audit Success Events Raised","Audit Success Events Raised","Antall vellykkede overvåkingshendelser","Opgetreden gebeurtenissen bij controle op geslaagde pogingen","Zaistniałe zdarzenia sukcesu inspekcji","Eventos de Sucesso de Auditoria Gerados","Eventos de Êxito de Auditoria Emitidos","Audit Success Events Raised","Audit Success Events Raised","Audit Success Events Raised","Audit Success Events Raised","Utlösta händelser för lyckade granskningar","Oluşan Denetim Başarısı Olayları"
"9282","Audit Failure Events Raised","Vyvolané události neúspěšných auditů","Hændelser af typen Mislykket overvågning","Bei Überwachungsfehlern ausgelöste Ereignisse","Audit Failure Events Raised","Eventos de resultados incorrectos de auditoría provocados","Eventos de resultados incorrectos de auditoría provocados","Audit Failure Events Raised","Tarkistusvirhetapahtumat","Événements d'échec d'audit déclenchés","Événements d'échec d'audit déclenchés","Audit Failure Events Raised","Sikertelen vizsgálati események száma","Eventi errore di controllo generati","Audit Failure Events Raised","Audit Failure Events Raised","Antall mislykkede overvåkingshendelser","Opgetreden gebeurtenissen bij controle op mislukte pogingen","Zaistniałe zdarzenia niepowodzenia inspekcji","Eventos de Falha de Auditoria Gerados","Eventos de Falha de Auditoria Emitidos","Audit Failure Events Raised","Audit Failure Events Raised","Audit Failure Events Raised","Audit Failure Events Raised","Utlösta händelser för misslyckade granskningar","Oluşan Denetim Hatası Olayları"
"9284","Error Events Raised","Vyvolané chybové události","Fejlhændelser","Ausgelöste Fehlerereignisse","Error Events Raised","Eventos de error provocados","Eventos de error provocados","Error Events Raised","Virhetapahtumat","Événements d'erreur déclenchés","Événements d'erreur déclenchés","Error Events Raised","Hibaesemények száma","Eventi errore generati","Error Events Raised","Error Events Raised","Oppståtte feilhendelser","Opgetreden foutgebeurtenissen","Zaistniałe zdarzenia błędów","Eventos de Erro Gerados","Eventos de Erro Emitidos","Error Events Raised","Error Events Raised","Error Events Raised","Error Events Raised","Utlösta felhändelser","Oluşan Hata Olayları"
"9286","Request Error Events Raised","Vyvolané události chyb požadavků","Fejlhændelser i anmodninger","Ausgelöste Anforderungsfehlerereignisse","Request Error Events Raised","Eventos de error de solicitud provocados","Eventos de error de solicitud provocados","Request Error Events Raised","Pyyntövirhetapahtumat","Événements d'erreur de demande déclenchés","Événements d'erreur de demande déclenchés","Request Error Events Raised","Kérelem-hibaesemények száma","Eventi errore richiesta generati","Request Error Events Raised","Request Error Events Raised","Oppståtte forespørselsfeilhendelser","Opgetreden aanvraagfoutgebeurtenissen","Zaistniałe zdarzenia błędów żądania","Eventos de Erro de Solicitação Gerados","Eventos de Erro de Pedidos Emitidos","Request Error Events Raised","Request Error Events Raised","Request Error Events Raised","Request Error Events Raised","Utlösta felhändelser för begäranden","Oluşan İstek Hatası Olayları"
"9288","Infrastructure Error Events Raised","Vyvolané události chyb infrastruktury","Fejlhændelser i infrastruktur","Ausgelöste Infrastrukturfehlerereignisse","Infrastructure Error Events Raised","Eventos de error de infraestructura provocados","Eventos de error de infraestructura provocados","Infrastructure Error Events Raised","Infrastruktuurivirhetapahtumat","Événements d'erreur d'infrastructure déclenchés","Événements d'erreur d'infrastructure déclenchés","Infrastructure Error Events Raised","Infrastruktúra-hibaesemények száma","Eventi errore infrastruttura generati","Infrastructure Error Events Raised","Infrastructure Error Events Raised","Oppståtte infrastrukturfeilhendelser","Opgetreden foutgebeurtenissen in infrastructuur","Zaistniałe zdarzenia błędów infrastruktury","Gerados Eventos de Erro de Infraestrutura","Eventos de Erro da Infraestrutura Emitidos","Infrastructure Error Events Raised","Infrastructure Error Events Raised","Infrastructure Error Events Raised","Infrastructure Error Events Raised","Utlösta felhändelser för infrastruktur","Oluşan Altyapı Hatası Olayları"
"9290","Requests In Native Queue","Požadavky v nativní frontě","Anmodninger i oprindelig kø","Anforderungen in systemeigener Warteschlange","Requests In Native Queue","Solicitudes de cola nativa","Solicitudes de cola nativa","Requests In Native Queue","Alkuperäisessä jonossa olevat pyynnöt","Requêtes dans la file d'attente native","Requêtes dans la file d'attente native","Requests In Native Queue","Kérelmek száma a natív sorban","Richieste nella coda nativa","Requests In Native Queue","Requests In Native Queue","Forespørsler i opprinnelig kø","Aanvragen in systeemeigen wachtrij","Żądania w kolejce natywnej","Solicitações em Fila Nativa","Pedidos na Fila Nativa","Requests In Native Queue","Requests In Native Queue","Requests In Native Queue","Requests In Native Queue","Begäranden i egen kö","Yerel Sıradaki İstek Sayısı"
"9292","Anonymous Requests","Anonymní požadavky","Anonyme anmodninger","Anonyme Anforderungen","Anonymous Requests","Solicitudes anónimas","Solicitudes anónimas","Anonymous Requests","Nimettömät pyynnöt","Demandes anonymes","Demandes anonymes","Anonymous Requests","Névtelen kérelmek száma","Richieste anonime","Anonymous Requests","Anonymous Requests","Anonyme forespørsler","Anonieme aanvragen","Żądania anonimowe","Solicitações Anônimas","Pedidos Anónimos","Anonymous Requests","Anonymous Requests","Anonymous Requests","Anonymous Requests","Anonyma begäranden","Anonim İstek Sayısı"
"9294","Anonymous Requests/Sec","Anonymní požadavky za sekundu","Anonyme anmodninger pr. sekund","Anonyme Anforderungen/s","Anonymous Requests/Sec","Solicitudes anónimas por segundo","Solicitudes anónimas por segundo","Anonymous Requests/Sec","Nimettömiä pyyntöjä sekunnissa","Demandes anonymes/s","Demandes anonymes/s","Anonymous Requests/Sec","Névtelen kérelmek gyakorisága (kérelem/mp)","Richieste anonime/sec","Anonymous Requests/Sec","Anonymous Requests/Sec","Anonyme forespørsler / sek","Anonieme aanvragen/sec.","Żądania anonimowe na sekundę","Solicitações Anônimas/s","Pedidos Anónimos/Seg","Anonymous Requests/Sec","Anonymous Requests/Sec","Anonymous Requests/Sec","Anonymous Requests/Sec","Anonyma begäranden/sekund","Anonim İstek Sayısı/Sn"
"9296","Cache Total Entries","Položky mezipaměti celkem","Samlet antal poster i cachen","Cacheeinträge gesamt","Cache Total Entries","Entradas totales en caché","Entradas totales en caché","Cache Total Entries","Välimuistin merkintöjä yhteensä","Total d'entrées dans le cache","Total d'entrées dans le cache","Cache Total Entries","Bejegyzések száma a gyorsítótárban","Totale oggetti cache","Cache Total Entries","Cache Total Entries","Antall oppføringer i buffer","Totaal aantal items in cache","Suma wpisów w pamięci podręcznej","Total de Entradas no Cache","Entradas na Cache Total","Cache Total Entries","Cache Total Entries","Cache Total Entries","Cache Total Entries","Totalt antal cacheposter","Toplam Önbellek Girdisi Sayısı"
"9298","Cache Total Turnover Rate","Celková frekvence přístupů do mezipaměti","Samlet udskiftningshastighed i cachen","Gesamte Cacheturnoverrate","Cache Total Turnover Rate","Tasa de renovación total de caché","Tasa de renovación total de caché","Cache Total Turnover Rate","Välimuistille tehtyjen toimien nopeus","Taux de rendement total du cache","Taux de rendement total du cache","Cache Total Turnover Rate","Gyorsítótár teljes forgalmi sebessége","Tasso di ricambio complessivo della cache","Cache Total Turnover Rate","Cache Total Turnover Rate","Gjennomstrømming i buffer","Verwerkingsfrequentie van cache","Współczynnik wszystkich operacji w pamięci podręcznej","Taxa de Renovação do Cache Total","Taxa de Renovação da Cache Total","Cache Total Turnover Rate","Cache Total Turnover Rate","Cache Total Turnover Rate","Cache Total Turnover Rate","Omsättningsfrekvens i cacheminnet","Toplam Önbellek Devir Hızı"
"930","Group Renewals/sec","Obnovení skupin/s","Gruppefornyelser pr. sekund","Gruppenerneuerungen/s","Group Renewals/sec","Renovaciones de grupo/s","Renovaciones de grupo/s","Group Renewals/sec","Ryhmäuusintoja/s","Rafraîchissements de groupes/s","Rafraîchissements de groupes/s","Group Renewals/sec","Csoportnév-megújítási kérelmek (kérelem/s)","Aggiornamenti gruppi/sec","Group Renewals/sec","Group Renewals/sec","Gruppefornyelser/sek","Groepsvernieuwingen per seconde","Odnowienia grup/s","Renovações de grupo/s","Renovações em grupo/seg","Group Renewals/sec","Group Renewals/sec","Group Renewals/sec","Group Renewals/sec","Gruppuppdateringar/s","Grup Yenilemesi/sn"
"9300","Cache Total Hits","Úspěšné přístupy do mezipaměti celkem","Samlet antal cacheforekomster","Cachetreffer gesamt","Cache Total Hits","Total de visitas de caché","Total de visitas de caché","Cache Total Hits","Välimuistihakujen onnistumisten kokonaismäärä","Total d'accès au cache","Total d'accès au cache","Cache Total Hits","Gyorsítótár-találatok száma összesen","Totale richieste soddisfatte dalla cache","Cache Total Hits","Cache Total Hits","Antall treff i buffer","Totaal aantal treffers in cache","Suma odwołań do pamięci podręcznej","Nº Total de Acertos do Cache","Acessos na Cache Total","Cache Total Hits","Cache Total Hits","Cache Total Hits","Cache Total Hits","Totalt antal träffar i cacheminnet","Toplam Önbellek İsabet Sayısı"
"9302","Cache Total Misses","Neúspěšné přístupy do mezipaměti celkem","Samlet antal resultatløse søgninger i cachen","Fehlgeschlagene Cachezugriffe gesamt","Cache Total Misses","Total líneas no ejecutadas de caché","Total líneas no ejecutadas de caché","Cache Total Misses","Välimuistihakujen epäonnistumisten kokonaismäärä","Total d'accès au cache sans résultat","Total d'accès au cache sans résultat","Cache Total Misses","Sikertelen gyorsítótárbeli keresések száma összesen","Totale richieste non soddisfatte dalla cache","Cache Total Misses","Cache Total Misses","Antall bufferbom","Totaal aantal missers in cache","Suma chybień w pamięci podręcznej","Nº Total de Falhas do Cache","Total de Pedidos Sem Êxito na Cache","Cache Total Misses","Cache Total Misses","Cache Total Misses","Cache Total Misses","Totalt antal missar i cacheminnet","Toplam Önbellek Başarısızlık Sayısı"
"9304","Cache Total Hit Ratio","Poměr úspěšných přístupů do mezipaměti celkem","Samlet forekomstforhold for cachen","Cache-Trefferrate gesamt","Cache Total Hit Ratio","Proporción total de aciertos de caché","Proporción total de aciertos de caché","Cache Total Hit Ratio","Välimuistihakujen onnistumissuhde","Total de taux d'accès au cache","Total de taux d'accès au cache","Cache Total Hit Ratio","Gyorsítótár teljes találati aránya","Percentuale complessiva richieste soddisfatte dalla cache","Cache Total Hit Ratio","Cache Total Hit Ratio","Treffprosent i buffer","Percentage van totaal aantal treffers in cache","Współczynnik wszystkich odwołań do pamięci podręcznej","Taxa de Total de Acertos do Cache","Taxa de Acessos na Cache Total","Cache Total Hit Ratio","Cache Total Hit Ratio","Cache Total Hit Ratio","Cache Total Hit Ratio","Total träffrekvens i cacheminnet","Toplam Önbellek İsabet Oranı"
"9306","Cache Total Hit Ratio Base","Základ poměru úspěšných přístupů do mezipaměti celkem","Samlet forekomstforhold for cachen (basis)","Cache-Trefferrate gesamt (Basis)","Cache Total Hit Ratio Base","Proporción de base de aciertos totales de caché","Proporción de base de aciertos totales de caché","Cache Total Hit Ratio Base","Välimuistihakujen kokonaisonnistumissuhde","Base du taux d'accès au cache","Base du taux d'accès au cache","Cache Total Hit Ratio Base","Gyorsítótár teljes találati arányának alapja","Valore base frequenza di accesso totale alla cache","Cache Total Hit Ratio Base","Cache Total Hit Ratio Base","Treffprosentgrunnlag i buffer","Percentage van totaal aantal treffers in cache (basis)","Podstawa współczynnika wszystkich odwołań do pamięci podręcznej","Base da Taxa de Total de Acertos do Cache","Base de Taxa de Acessos na Cache Total","Cache Total Hit Ratio Base","Cache Total Hit Ratio Base","Cache Total Hit Ratio Base","Cache Total Hit Ratio Base","Total träffrekvens i cacheminnet (bas)","Toplam Önbellek İsabet Oranı Tabanı"
"9308","Cache API Entries","Položky mezipaměti API","Poster i cache-API","Cache-API-Einträge","Cache API Entries","Entradas API de caché","Entradas API de caché","Cache API Entries","Välimuistin API-merkinnät","Entrées API du cache","Entrées API du cache","Cache API Entries","API-gyorsítótárbeli bejegyzések száma","Oggetti API nella cache","Cache API Entries","Cache API Entries","Oppføringer i API-buffer","Items in API-cache","Wpisy interfejsu API w pamięci podręcznej","Entradas da API do Cache","Entradas na Cache API","Cache API Entries","Cache API Entries","Cache API Entries","Cache API Entries","Poster i cache-API","Önbellek API Girdisi Sayısı"
"9310","Cache API Turnover Rate","Frekvence přístupů do mezipaměti API","Udskiftningshastighed i cache-API","Turnoverrate für Cache-API","Cache API Turnover Rate","Tasa de renovación de la API de caché","Tasa de renovación de la API de caché","Cache API Turnover Rate","Välimuistin API-toimien nopeus","Taux de rendement de l'API du cache","Taux de rendement de l'API du cache","Cache API Turnover Rate","API-gyorsítótár forgalmi sebessége","Tasso di ricambio degli oggetti API nella cache.","Cache API Turnover Rate","Cache API Turnover Rate","Gjennomstrømming i API-buffer","Verwerkingsfrequentie van API-cache","Współczynnik operacji interfejsu API w pamięci podręcznej","Taxa de Renovação da API do Cache","Taxa de Renovação na API da Cache","Cache API Turnover Rate","Cache API Turnover Rate","Cache API Turnover Rate","Cache API Turnover Rate","Omsättningsfrekvens i cache-API","Önbellek API Devir Hızı"
"9312","Cache API Hits","Úspěšné přístupy do mezipaměti API","Forekomster i cache-API","Cache-API-Treffer","Cache API Hits","Aciertos de la API de caché","Aciertos de la API de caché","Cache API Hits","Onnistuneet API-välimuistihaut","Accès API au cache","Accès API au cache","Cache API Hits","API-gyorsítótárbeli találatok száma","Richieste API soddisfatte dalla cache","Cache API Hits","Cache API Hits","Treff i API-buffer","Treffers in API-cache","Liczba odwołań interfejsu API do pamięci podręcznej","Acertos da API do Cache","Acessos na API da Cache","Cache API Hits","Cache API Hits","Cache API Hits","Cache API Hits","Träffar i cache-API","Önbellek API İsabet Sayısı"
"9314","Cache API Misses","Neúspěšné přístupy do mezipaměti API","Resultatløse søgninger i cache-API","Fehlgeschlagene Cache-API-Zugriffe","Cache API Misses","Líneas no ejecutadas de la API de caché","Líneas no ejecutadas de la API de caché","Cache API Misses","Epäonnistuneet API-välimuistihaut","Accès API au cache sans résultat","Accès API au cache sans résultat","Cache API Misses","API-gyorsítótárbeli sikertelen keresések száma","Richieste API non soddisfatte dalla cache","Cache API Misses","Cache API Misses","Bom i API-buffer","Missers in API-cache","Chybienia w pamięci podręcznej interfejsu API","Falhas da API do Cache","Pedidos Sem Êxito na API da Cache","Cache API Misses","Cache API Misses","Cache API Misses","Cache API Misses","Missar i cache-API","Önbellek API Başarısızlık Sayısı"
"9316","Cache API Hit Ratio","Poměr úspěšných přístupů do mezipaměti API","Forekomstforhold for cache-API","Cache-API-Trefferrate","Cache API Hit Ratio","Proporción de aciertos de la API de caché","Proporción de aciertos de la API de caché","Cache API Hit Ratio","API-välimuistihakujen onnistumissuhde","Taux d'accès API au cache","Taux d'accès API au cache","Cache API Hit Ratio","API-gyorsítótár találati aránya","Percentuale richieste API soddisfatte dalla cache","Cache API Hit Ratio","Cache API Hit Ratio","Treffprosent i API-buffer","Percentage treffers in API-cache","Współczynnik odwołań interfejsu API do pamięci podręcznej","Taxa de Acertos da API do Cache","Taxa de Acessos na API da Cache","Cache API Hit Ratio","Cache API Hit Ratio","Cache API Hit Ratio","Cache API Hit Ratio","Träffrekvens i cache-API","Önbellek API İsabet Oranı"
